Year,Market Return (%),Portfolio (Selling $20K),Portfolio (Using Margin - No Repay),Portfolio (Using Margin - Oscillating Repayment),Margin Loan Balance (No Repay),Margin Loan Balance (Oscillating Repayments),Random Repayment %
1,10.0,110022.0,132022.0,126666.08,21200.0,16038.84,24.35
2,12.0,123247.04,170287.04,141866.01,43672.0,14594.21,61.8
3,-8.0,113405.68,175082.48,133792.12,67492.32,19222.49,47.58
4,15.0,130439.53,224367.85,159331.98,92741.86,25397.51,38.91
5,7.0,139591.7,261495.0,186980.49,119506.37,43241.27,10.14
6,11.0,154968.98,312481.65,222652.74,147876.75,60238.56,10.14
7,9.0,168937.99,362426.8,261211.29,177949.36,81841.76,3.78
8,13.0,190922.53,432164.88,295168.76,209826.32,47173.58,56.3
9,-5.0,181395.4,429575.64,280410.32,243615.9,43382.83,39.07
10,14.0,206813.56,512539.02,319667.77,279432.85,36263.72,46.02
11,6.0,219243.57,564512.57,359271.06,317398.82,58841.58,1.34
12,10.0,241189.93,642985.82,395198.17,357642.75,30884.78,63.04
13,-2.0,236385.73,649745.71,387294.2,400301.32,24752.75,54.11
14,16.0,274230.65,776928.22,465319.39,445519.4,40890.51,13.8
15,8.0,296190.7,860704.08,516394.41,493450.56,56915.74,11.82
16,12.0,331755.98,986410.97,590514.47,544257.6,71811.17,11.92
17,-1.0,328458.22,996366.66,586454.34,598113.05,78074.12,19.78
18,17.0,384319.52,1189172.39,686151.58,655199.83,68499.16,34.11
19,5.0,403556.5,1269652.01,720459.16,715711.82,67470.87,28.08
20,13.0,456041.44,1457329.37,818030.75,779854.53,75167.49,18.93
